Tipo de cambio;Fecha;Cambio;Var.%
Tipo de cambio Euro / Dólares namibios;17/03/2020;18,4984;0,68%
Tipo de cambio Euro / Dólares namibios;16/03/2020;18,3728;-0,16%
Tipo de cambio Euro / Dólares namibios;13/03/2020;18,4028;-0,61%
Tipo de cambio Euro / Dólares namibios;12/03/2020;18,5165;2,12%
Tipo de cambio Euro / Dólares namibios;11/03/2020;18,1327;0,79%
Tipo de cambio Euro / Dólares namibios;10/03/2020;17,9908;-3,10%
Tipo de cambio Euro / Dólares namibios;09/03/2020;18,5661;5,07%
Tipo de cambio Euro / Dólares namibios;06/03/2020;17,6710;3,81%
Tipo de cambio Euro / Dólares namibios;05/03/2020;17,0220;-0,78%
Tipo de cambio Euro / Dólares namibios;04/03/2020;17,1554;-0,33%
Tipo de cambio Euro / Dólares namibios;03/03/2020;17,2118;-0,51%
Tipo de cambio Euro / Dólares namibios;02/03/2020;17,2998;0,47%
Tipo de cambio Euro / Rupias nepalies;18/01/2019;129,6179;-0,22%
Tipo de cambio Euro / Rupias nepalies;17/01/2019;129,9030;0,35%
Tipo de cambio Euro / Rupias nepalies;16/01/2019;129,4474;-0,17%
Tipo de cambio Euro / Rupias nepalies;15/01/2019;129,6624;0,26%
Tipo de cambio Euro / Rupias nepalies;14/01/2019;129,3248;-0,48%
Tipo de cambio Euro / Rupias nepalies;11/01/2019;129,9423;-0,08%
Tipo de cambio Euro / Rupias nepalies;10/01/2019;130,0456;1,07%
Tipo de cambio Euro / Rupias nepalies;09/01/2019;128,6740;0,88%
Tipo de cambio Euro / Rupias nepalies;08/01/2019;127,5560;-0,10%
Tipo de cambio Euro / Rupias nepalies;07/01/2019;127,6804;-0,30%
Tipo de cambio Euro / Rupias nepalies;04/01/2019;128,0671;0,51%
Tipo de cambio Euro / Rupias nepalies;03/01/2019;127,4153;0,61%
Tipo de cambio Euro / Rupias nepalies;02/01/2019;126,6435;-1,78%
Tipo de cambio Euro / Rupias nepalies;28/12/2018;128,9377;1,08%
Tipo de cambio Euro / Rupias nepalies;27/12/2018;127,5589;0,20%
Tipo de cambio Euro / Rupias nepalies;21/12/2018;127,3003;-1,31%
Tipo de cambio Euro / Rupias nepalies;20/12/2018;128,9955;0,35%
Tipo de cambio Euro / Rupias nepalies;19/12/2018;128,5458;-1,30%
Tipo de cambio Euro / Rupias nepalies;18/12/2018;130,2439;-0,17%
Tipo de cambio Euro / Rupias nepalies;17/12/2018;130,4669;0,79%
Tipo de cambio Euro / Rupias nepalies;14/12/2018;129,4390;-1,20%
Tipo de cambio Euro / Rupias nepalies;13/12/2018;131,0167;0,44%
Tipo de cambio Euro / Rupias nepalies;12/12/2018;130,4450;0,43%
Tipo de cambio Euro / Rupias nepalies;11/12/2018;129,8913;0,35%
Tipo de cambio Euro / Rupias nepalies;10/12/2018;129,4338;0,33%
Tipo de cambio Euro / Rupias nepalies;07/12/2018;129,0040;0,81%
Tipo de cambio Euro / Rupias nepalies;06/12/2018;127,9712;-0,50%
Tipo de cambio Euro / Rupias nepalies;04/12/2018;128,6137;1,93%
Tipo de cambio Euro / Rupias nepalies;03/12/2018;126,1818;-0,59%
Tipo de cambio Euro / Rupias nepalies;30/11/2018;126,9368;-1,35%
Tipo de cambio Euro / Nairas;20/11/2019;338,8418;-0,19%
Tipo de cambio Euro / Nairas;19/11/2019;339,4853;0,16%
Tipo de cambio Euro / Nairas;18/11/2019;338,9337;0,27%
Tipo de cambio Euro / Nairas;15/11/2019;338,0205;0,35%
Tipo de cambio Euro / Nairas;14/11/2019;336,8562;-0,18%
Tipo de cambio Euro / Nairas;13/11/2019;337,4690;-0,02%
Tipo de cambio Euro / Nairas;12/11/2019;337,5302;-0,16%
Tipo de cambio Euro / Nairas;08/11/2019;338,0818;-0,41%
Tipo de cambio Euro / Nairas;07/11/2019;339,4606;-0,05%
Tipo de cambio Euro / Nairas;06/11/2019;339,6385;-0,31%
Tipo de cambio Euro / Nairas;05/11/2019;340,6805;-0,44%
Tipo de cambio Euro / Nairas;04/11/2019;342,1821;0,06%
Tipo de cambio Euro / Nairas;01/11/2019;341,9621;-0,03%
Tipo de cambio Euro / Nairas;31/10/2019;342,0540;0,39%
Tipo de cambio Euro / Nairas;30/10/2019;340,7361;0,23%
Tipo de cambio Euro / Nairas;29/10/2019;339,9698;-0,10%
Tipo de cambio Euro / Nairas;25/10/2019;340,3127;-0,35%
Tipo de cambio Euro / Nairas;24/10/2019;341,5079;0,21%
Tipo de cambio Euro / Nairas;23/10/2019;340,8030;-0,15%
Tipo de cambio Euro / Nairas;22/10/2019;341,3240;-0,26%
Tipo de cambio Euro / Nairas;21/10/2019;342,2182;0,22%
Tipo de cambio Euro / Nairas;18/10/2019;341,4522;0,28%
Tipo de cambio Euro / Nairas;17/10/2019;340,5023;0,61%
Tipo de cambio Euro / Nairas;16/10/2019;338,4494;0,34%
Tipo de cambio Euro / Nairas;15/10/2019;337,3095;-0,19%
Tipo de cambio Euro / Nairas;14/10/2019;337,9531;-0,23%
Tipo de cambio Euro / Nairas;11/10/2019;338,7192;0,24%
Tipo de cambio Euro / Nairas;10/10/2019;337,9224;0,40%
Tipo de cambio Euro / Nairas;09/10/2019;336,5677;-0,04%
Tipo de cambio Euro / Nairas;08/10/2019;336,6903;-0,07%
Tipo de cambio Euro / Coronas noruegas;14/04/2020;11,3118;0,87%
Tipo de cambio Euro / Coronas noruegas;09/04/2020;11,2143;0,18%
Tipo de cambio Euro / Coronas noruegas;08/04/2020;11,1940;0,90%
Tipo de cambio Euro / Coronas noruegas;07/04/2020;11,0945;-2,57%
Tipo de cambio Euro / Coronas noruegas;06/04/2020;11,3875;1,11%
Tipo de cambio Euro / Coronas noruegas;03/04/2020;11,2628;0,25%
Tipo de cambio Euro / Coronas noruegas;02/04/2020;11,2345;-0,30%
Tipo de cambio Euro / Coronas noruegas;01/04/2020;11,2685;-2,10%
Tipo de cambio Euro / Coronas noruegas;31/03/2020;11,5100;-1,53%
Tipo de cambio Euro / Coronas noruegas;30/03/2020;11,6888;0,28%
Tipo de cambio Euro / Coronas noruegas;27/03/2020;11,6558;1,11%
Tipo de cambio Euro / Coronas noruegas;26/03/2020;11,5273;-2,10%
Tipo de cambio Euro / Coronas noruegas;25/03/2020;11,7745;-1,67%
Tipo de cambio Euro / Coronas noruegas;24/03/2020;11,9745;-2,30%
Tipo de cambio Euro / Coronas noruegas;23/03/2020;12,2568;1,12%
Tipo de cambio Euro / Coronas noruegas;20/03/2020;12,1215;-1,58%
Tipo de cambio Euro / Coronas noruegas;19/03/2020;12,3165;5,26%
Tipo de cambio Euro / Coronas noruegas;18/03/2020;11,7010;1,69%
Tipo de cambio Euro / Coronas noruegas;17/03/2020;11,5063;0,26%
Tipo de cambio Euro / Coronas noruegas;16/03/2020;11,4765;3,42%
Tipo de cambio Euro / Coronas noruegas;13/03/2020;11,0966;-2,39%
Tipo de cambio Euro / Coronas noruegas;12/03/2020;11,3682;4,72%
Tipo de cambio Euro / Coronas noruegas;11/03/2020;10,8558;0,12%
Tipo de cambio Euro / Coronas noruegas;10/03/2020;10,8433;-0,43%
Tipo de cambio Euro / Coronas noruegas;09/03/2020;10,8900;3,73%
Tipo de cambio Euro / Coronas noruegas;06/03/2020;10,4983;1,23%
Tipo de cambio Euro / Coronas noruegas;05/03/2020;10,3710;0,64%
Tipo de cambio Euro / Coronas noruegas;04/03/2020;10,3051;-0,27%
Tipo de cambio Euro / Coronas noruegas;03/03/2020;10,3328;-0,69%
Tipo de cambio Euro / Coronas noruegas;02/03/2020;10,4043;0,15%
Tipo de cambio Euro / Dólares neozelandeses;14/04/2020;1,8008;-0,66%
Tipo de cambio Euro / Dólares neozelandeses;09/04/2020;1,8128;-0,36%
Tipo de cambio Euro / Dólares neozelandeses;08/04/2020;1,8194;0,19%
Tipo de cambio Euro / Dólares neozelandeses;07/04/2020;1,8160;-0,22%
Tipo de cambio Euro / Dólares neozelandeses;06/04/2020;1,8200;-1,21%
Tipo de cambio Euro / Dólares neozelandeses;03/04/2020;1,8423;0,23%
Tipo de cambio Euro / Dólares neozelandeses;02/04/2020;1,8380;-0,90%
Tipo de cambio Euro / Dólares neozelandeses;01/04/2020;1,8547;0,71%
Tipo de cambio Euro / Dólares neozelandeses;31/03/2020;1,8417;0,07%
Tipo de cambio Euro / Dólares neozelandeses;30/03/2020;1,8405;-0,77%
Tipo de cambio Euro / Dólares neozelandeses;27/03/2020;1,8548;0,10%
Tipo de cambio Euro / Dólares neozelandeses;26/03/2020;1,8530;0,28%
Tipo de cambio Euro / Dólares neozelandeses;25/03/2020;1,8479;-1,05%
Tipo de cambio Euro / Dólares neozelandeses;24/03/2020;1,8676;-1,39%
Tipo de cambio Euro / Dólares neozelandeses;23/03/2020;1,8939;2,26%
Tipo de cambio Euro / Dólares neozelandeses;20/03/2020;1,8521;-2,02%
Tipo de cambio Euro / Dólares neozelandeses;19/03/2020;1,8903;0,94%
Tipo de cambio Euro / Dólares neozelandeses;18/03/2020;1,8727;1,67%
Tipo de cambio Euro / Dólares neozelandeses;17/03/2020;1,8420;-0,43%
Tipo de cambio Euro / Dólares neozelandeses;16/03/2020;1,8499;2,09%
Tipo de cambio Euro / Dólares neozelandeses;13/03/2020;1,8120;-0,29%
Tipo de cambio Euro / Dólares neozelandeses;12/03/2020;1,8173;1,24%
Tipo de cambio Euro / Dólares neozelandeses;11/03/2020;1,7951;-0,31%
Tipo de cambio Euro / Dólares neozelandeses;10/03/2020;1,8006;-0,08%
Tipo de cambio Euro / Dólares neozelandeses;09/03/2020;1,8021;0,91%
Tipo de cambio Euro / Dólares neozelandeses;06/03/2020;1,7858;0,64%
Tipo de cambio Euro / Dólares neozelandeses;05/03/2020;1,7744;0,44%
Tipo de cambio Euro / Dólares neozelandeses;04/03/2020;1,7667;-0,34%
Tipo de cambio Euro / Dólares neozelandeses;03/03/2020;1,7728;-0,06%
Tipo de cambio Euro / Dólares neozelandeses;02/03/2020;1,7738;0,74%
Tipo de cambio Euro / Riales omaníes;09/04/2020;0,4178;-0,04%
Tipo de cambio Euro / Riales omaníes;08/04/2020;0,4180;-0,13%
Tipo de cambio Euro / Riales omaníes;07/04/2020;0,4185;0,87%
Tipo de cambio Euro / Riales omaníes;06/04/2020;0,4149;-1,33%
Tipo de cambio Euro / Riales omaníes;01/04/2020;0,4205;-0,18%
Tipo de cambio Euro / Riales omaníes;31/03/2020;0,4213;-0,71%
Tipo de cambio Euro / Riales omaníes;30/03/2020;0,4243;0,48%
Tipo de cambio Euro / Riales omaníes;26/03/2020;0,4222;1,42%
Tipo de cambio Euro / Riales omaníes;25/03/2020;0,4163;-0,15%
Tipo de cambio Euro / Riales omaníes;24/03/2020;0,4169;0,56%
Tipo de cambio Euro / Riales omaníes;23/03/2020;0,4146;-0,17%
Tipo de cambio Euro / Riales omaníes;19/03/2020;0,4153;-1,22%
Tipo de cambio Euro / Riales omaníes;18/03/2020;0,4204;-0,44%
Tipo de cambio Euro / Riales omaníes;17/03/2020;0,4223;-1,57%
Tipo de cambio Euro / Riales omaníes;16/03/2020;0,4290;-0,74%
Tipo de cambio Euro / Riales omaníes;12/03/2020;0,4322;-0,85%
Tipo de cambio Euro / Riales omaníes;11/03/2020;0,4359;-0,47%
Tipo de cambio Euro / Riales omaníes;10/03/2020;0,4379;-0,58%
Tipo de cambio Euro / Riales omaníes;09/03/2020;0,4405;2,40%
Tipo de cambio Euro / Riales omaníes;05/03/2020;0,4301;0,56%
Tipo de cambio Euro / Riales omaníes;04/03/2020;0,4278;0,07%
Tipo de cambio Euro / Riales omaníes;03/03/2020;0,4274;-0,04%
Tipo de cambio Euro / Riales omaníes;02/03/2020;0,4276;1,32%
Tipo de cambio Euro / Riales omaníes;28/02/2020;0,4221;0,12%
Tipo de cambio Euro / Riales omaníes;27/02/2020;0,4216;0,82%
Tipo de cambio Euro / Riales omaníes;26/02/2020;0,4181;0,32%
Tipo de cambio Euro / Riales omaníes;25/02/2020;0,4168;0,20%
Tipo de cambio Euro / Riales omaníes;24/02/2020;0,4160;0,26%
Tipo de cambio Euro / Riales omaníes;20/02/2020;0,4149;-0,09%
Tipo de cambio Euro / Riales omaníes;19/02/2020;0,4153;-0,15%
Tipo de cambio Euro / Rupias paquistanies;31/01/2019;158,8277;0,37%
Tipo de cambio Euro / Rupias paquistanies;18/01/2019;158,2495;-0,01%
Tipo de cambio Euro / Rupias paquistanies;17/01/2019;158,2622;0,06%
Tipo de cambio Euro / Rupias paquistanies;16/01/2019;158,1644;-0,28%
Tipo de cambio Euro / Rupias paquistanies;15/01/2019;158,6061;-0,38%
Tipo de cambio Euro / Rupias paquistanies;14/01/2019;159,2112;-0,57%
Tipo de cambio Euro / Rupias paquistanies;11/01/2019;160,1226;-0,02%
Tipo de cambio Euro / Rupias paquistanies;10/01/2019;160,1569;0,70%
Tipo de cambio Euro / Rupias paquistanies;09/01/2019;159,0481;0,12%
Tipo de cambio Euro / Rupias paquistanies;08/01/2019;158,8518;-0,04%
Tipo de cambio Euro / Rupias paquistanies;07/01/2019;158,9143;0,36%
Tipo de cambio Euro / Rupias paquistanies;04/01/2019;158,3456;0,49%
Tipo de cambio Euro / Rupias paquistanies;03/01/2019;157,5772;-0,42%
Tipo de cambio Euro / Rupias paquistanies;02/01/2019;158,2402;-0,52%
Tipo de cambio Euro / Rupias paquistanies;28/12/2018;159,0618;0,67%
Tipo de cambio Euro / Rupias paquistanies;27/12/2018;157,9975;-0,35%
Tipo de cambio Euro / Rupias paquistanies;21/12/2018;158,5502;-0,32%
Tipo de cambio Euro / Rupias paquistanies;20/12/2018;159,0535;0,42%
Tipo de cambio Euro / Rupias paquistanies;19/12/2018;158,3823;0,25%
Tipo de cambio Euro / Rupias paquistanies;18/12/2018;157,9884;0,33%
Tipo de cambio Euro / Rupias paquistanies;17/12/2018;157,4670;0,50%
Tipo de cambio Euro / Rupias paquistanies;14/12/2018;156,6893;-0,75%
Tipo de cambio Euro / Rupias paquistanies;13/12/2018;157,8742;0,21%
Tipo de cambio Euro / Rupias paquistanies;12/12/2018;157,5436;-0,32%
Tipo de cambio Euro / Rupias paquistanies;11/12/2018;158,0551;-0,37%
Tipo de cambio Euro / Rupias paquistanies;10/12/2018;158,6410;0,47%
Tipo de cambio Euro / Rupias paquistanies;07/12/2018;157,8926;0,32%
Tipo de cambio Euro / Rupias paquistanies;06/12/2018;157,3954;0,24%
Tipo de cambio Euro / Rupias paquistanies;04/12/2018;157,0246;0,70%
Tipo de cambio Euro / Rupias paquistanies;03/12/2018;155,9333;-2,13%
Tipo de cambio Euro / Guaranies;13/04/2020;7.074,6300;0,20%
Tipo de cambio Euro / Guaranies;07/04/2020;7.060,8100;0,78%
Tipo de cambio Euro / Guaranies;06/04/2020;7.005,9400;-0,69%
Tipo de cambio Euro / Guaranies;03/04/2020;7.054,4500;-0,82%
Tipo de cambio Euro / Guaranies;02/04/2020;7.112,6500;-0,74%
Tipo de cambio Euro / Guaranies;01/04/2020;7.165,5800;-0,75%
Tipo de cambio Euro / Guaranies;31/03/2020;7.219,9600;-0,43%
Tipo de cambio Euro / Guaranies;30/03/2020;7.250,9300;-0,28%
Tipo de cambio Euro / Guaranies;27/03/2020;7.271,5400;0,21%
Tipo de cambio Euro / Guaranies;26/03/2020;7.255,9700;1,70%
Tipo de cambio Euro / Guaranies;25/03/2020;7.134,5900;0,17%
Tipo de cambio Euro / Guaranies;24/03/2020;7.122,7000;-0,25%
Tipo de cambio Euro / Guaranies;23/03/2020;7.140,3800;0,56%
Tipo de cambio Euro / Guaranies;20/03/2020;7.100,8700;-0,07%
Tipo de cambio Euro / Guaranies;19/03/2020;7.105,7800;-0,87%
Tipo de cambio Euro / Guaranies;18/03/2020;7.168,3400;-0,86%
Tipo de cambio Euro / Guaranies;17/03/2020;7.230,2400;-0,98%
Tipo de cambio Euro / Guaranies;16/03/2020;7.301,7100;0,27%
Tipo de cambio Euro / Guaranies;13/03/2020;7.282,0800;-0,36%
Tipo de cambio Euro / Guaranies;12/03/2020;7.308,5700;-1,90%
Tipo de cambio Euro / Guaranies;11/03/2020;7.450,4000;-0,21%
Tipo de cambio Euro / Guaranies;10/03/2020;7.466,3900;-0,82%
Tipo de cambio Euro / Guaranies;09/03/2020;7.528,1700;1,73%
Tipo de cambio Euro / Guaranies;06/03/2020;7.399,8500;1,20%
Tipo de cambio Euro / Guaranies;05/03/2020;7.312,3400;0,96%
Tipo de cambio Euro / Guaranies;04/03/2020;7.242,6800;0,00%
Tipo de cambio Euro / Guaranies;03/03/2020;7.242,7200;-0,21%
Tipo de cambio Euro / Guaranies;02/03/2020;7.257,6800;1,70%
Tipo de cambio Euro / Guaranies;28/02/2020;7.136,0400;-0,38%
Tipo de cambio Euro / Guaranies;27/02/2020;7.163,6000;1,26%
Tipo de cambio Euro / Soles;08/04/2020;3,6461;-0,51%
Tipo de cambio Euro / Soles;07/04/2020;3,6650;-0,28%
Tipo de cambio Euro / Soles;06/04/2020;3,6754;-1,31%
Tipo de cambio Euro / Soles;03/04/2020;3,7241;-1,11%
Tipo de cambio Euro / Soles;02/04/2020;3,7658;-0,33%
Tipo de cambio Euro / Soles;01/04/2020;3,7784;0,46%
Tipo de cambio Euro / Soles;31/03/2020;3,7612;-0,65%
Tipo de cambio Euro / Soles;30/03/2020;3,7858;0,93%
Tipo de cambio Euro / Soles;27/03/2020;3,7508;-0,39%
Tipo de cambio Euro / Soles;26/03/2020;3,7654;-0,52%
Tipo de cambio Euro / Soles;25/03/2020;3,7851;-0,74%
Tipo de cambio Euro / Soles;24/03/2020;3,8135;0,19%
Tipo de cambio Euro / Soles;23/03/2020;3,8064;1,00%
Tipo de cambio Euro / Soles;20/03/2020;3,7689;-2,07%
Tipo de cambio Euro / Soles;19/03/2020;3,8484;-1,27%
Tipo de cambio Euro / Soles;18/03/2020;3,8980;0,01%
Tipo de cambio Euro / Soles;17/03/2020;3,8975;-1,43%
Tipo de cambio Euro / Soles;16/03/2020;3,9540;0,99%
Tipo de cambio Euro / Soles;13/03/2020;3,9153;-1,68%
Tipo de cambio Euro / Soles;12/03/2020;3,9823;0,17%
Tipo de cambio Euro / Soles;11/03/2020;3,9755;-0,10%
Tipo de cambio Euro / Soles;10/03/2020;3,9797;-0,72%
Tipo de cambio Euro / Soles;09/03/2020;4,0085;5,35%
Tipo de cambio Euro / Soles;04/03/2020;3,8048;-0,07%
Tipo de cambio Euro / Soles;03/03/2020;3,8076;-0,51%
Tipo de cambio Euro / Soles;02/03/2020;3,8271;1,12%
Tipo de cambio Euro / Soles;28/02/2020;3,7849;0,76%
Tipo de cambio Euro / Soles;27/02/2020;3,7563;1,32%
Tipo de cambio Euro / Soles;26/02/2020;3,7073;0,53%
Tipo de cambio Euro / Soles;25/02/2020;3,6878;0,23%
Tipo de cambio Euro / Zlotys polacos;14/04/2020;4,5473;-0,25%
Tipo de cambio Euro / Zlotys polacos;09/04/2020;4,5586;0,32%
Tipo de cambio Euro / Zlotys polacos;08/04/2020;4,5442;0,19%
Tipo de cambio Euro / Zlotys polacos;07/04/2020;4,5356;-0,63%
Tipo de cambio Euro / Zlotys polacos;06/04/2020;4,5643;-0,27%
Tipo de cambio Euro / Zlotys polacos;03/04/2020;4,5765;0,15%
Tipo de cambio Euro / Zlotys polacos;02/04/2020;4,5697;-0,26%
Tipo de cambio Euro / Zlotys polacos;01/04/2020;4,5815;0,68%
Tipo de cambio Euro / Zlotys polacos;31/03/2020;4,5506;-0,01%
Tipo de cambio Euro / Zlotys polacos;30/03/2020;4,5509;0,45%
Tipo de cambio Euro / Zlotys polacos;27/03/2020;4,5306;-0,97%
Tipo de cambio Euro / Zlotys polacos;26/03/2020;4,5748;-0,15%
Tipo de cambio Euro / Zlotys polacos;25/03/2020;4,5817;-0,71%
Tipo de cambio Euro / Zlotys polacos;24/03/2020;4,6146;0,20%
Tipo de cambio Euro / Zlotys polacos;23/03/2020;4,6056;1,64%
Tipo de cambio Euro / Zlotys polacos;20/03/2020;4,5315;-0,63%
Tipo de cambio Euro / Zlotys polacos;19/03/2020;4,5604;1,32%
Tipo de cambio Euro / Zlotys polacos;18/03/2020;4,5010;0,86%
Tipo de cambio Euro / Zlotys polacos;17/03/2020;4,4628;1,27%
Tipo de cambio Euro / Zlotys polacos;16/03/2020;4,4070;1,15%
Tipo de cambio Euro / Zlotys polacos;13/03/2020;4,3570;-0,07%
Tipo de cambio Euro / Zlotys polacos;12/03/2020;4,3599;0,97%
Tipo de cambio Euro / Zlotys polacos;11/03/2020;4,3180;-0,18%
Tipo de cambio Euro / Zlotys polacos;10/03/2020;4,3260;0,30%
Tipo de cambio Euro / Zlotys polacos;09/03/2020;4,3132;0,21%
Tipo de cambio Euro / Zlotys polacos;06/03/2020;4,3042;0,03%
Tipo de cambio Euro / Zlotys polacos;05/03/2020;4,3029;0,14%
Tipo de cambio Euro / Zlotys polacos;04/03/2020;4,2968;-0,46%
Tipo de cambio Euro / Zlotys polacos;03/03/2020;4,3166;-0,25%
Tipo de cambio Euro / Zlotys polacos;02/03/2020;4,3276;0,04%
Tipo de cambio Euro / Coronas checas;14/04/2020;26,8640;-0,17%
Tipo de cambio Euro / Coronas checas;09/04/2020;26,9090;-1,01%
Tipo de cambio Euro / Coronas checas;08/04/2020;27,1830;-0,12%
Tipo de cambio Euro / Coronas checas;07/04/2020;27,2150;-1,41%
Tipo de cambio Euro / Coronas checas;06/04/2020;27,6030;0,23%
Tipo de cambio Euro / Coronas checas;03/04/2020;27,5390;-0,05%
Tipo de cambio Euro / Coronas checas;02/04/2020;27,5530;0,67%
Tipo de cambio Euro / Coronas checas;01/04/2020;27,3690;0,21%
Tipo de cambio Euro / Coronas checas;31/03/2020;27,3120;-0,01%
Tipo de cambio Euro / Coronas checas;30/03/2020;27,3150;0,06%
Tipo de cambio Euro / Coronas checas;27/03/2020;27,2990;-0,91%
Tipo de cambio Euro / Coronas checas;26/03/2020;27,5500;0,38%
Tipo de cambio Euro / Coronas checas;25/03/2020;27,4460;-1,30%
Tipo de cambio Euro / Coronas checas;24/03/2020;27,8080;0,63%
Tipo de cambio Euro / Coronas checas;23/03/2020;27,6350;1,63%
Tipo de cambio Euro / Coronas checas;20/03/2020;27,1910;-1,50%
Tipo de cambio Euro / Coronas checas;19/03/2020;27,6060;1,66%
Tipo de cambio Euro / Coronas checas;18/03/2020;27,1540;0,63%
Tipo de cambio Euro / Coronas checas;17/03/2020;26,9850;0,09%
Tipo de cambio Euro / Coronas checas;16/03/2020;26,9600;3,53%
Tipo de cambio Euro / Coronas checas;13/03/2020;26,0420;-0,61%
Tipo de cambio Euro / Coronas checas;12/03/2020;26,2030;1,68%
Tipo de cambio Euro / Coronas checas;11/03/2020;25,7700;0,17%
Tipo de cambio Euro / Coronas checas;10/03/2020;25,7250;0,87%
Tipo de cambio Euro / Coronas checas;09/03/2020;25,5040;0,18%
Tipo de cambio Euro / Coronas checas;06/03/2020;25,4580;0,44%
Tipo de cambio Euro / Coronas checas;05/03/2020;25,3460;0,02%
Tipo de cambio Euro / Coronas checas;04/03/2020;25,3400;-0,53%
Tipo de cambio Euro / Coronas checas;03/03/2020;25,4750;-0,20%
Tipo de cambio Euro / Coronas checas;02/03/2020;25,5250;0,53%
Tipo de cambio Euro / Pesos dominicanos;13/04/2020;58,7170;0,03%
Tipo de cambio Euro / Pesos dominicanos;09/04/2020;58,6965;-0,04%
Tipo de cambio Euro / Pesos dominicanos;08/04/2020;58,7181;0,78%
Tipo de cambio Euro / Pesos dominicanos;07/04/2020;58,2631;0,04%
Tipo de cambio Euro / Pesos dominicanos;06/04/2020;58,2410;-1,02%
Tipo de cambio Euro / Pesos dominicanos;03/04/2020;58,8407;0,04%
Tipo de cambio Euro / Pesos dominicanos;02/04/2020;58,8179;-0,18%
Tipo de cambio Euro / Pesos dominicanos;01/04/2020;58,9225;-0,12%
Tipo de cambio Euro / Pesos dominicanos;31/03/2020;58,9960;-0,67%
Tipo de cambio Euro / Pesos dominicanos;30/03/2020;59,3937;0,56%
Tipo de cambio Euro / Pesos dominicanos;27/03/2020;59,0646;-0,01%
Tipo de cambio Euro / Pesos dominicanos;26/03/2020;59,0704;1,47%
Tipo de cambio Euro / Pesos dominicanos;25/03/2020;58,2156;-0,13%
Tipo de cambio Euro / Pesos dominicanos;24/03/2020;58,2916;0,59%
Tipo de cambio Euro / Pesos dominicanos;23/03/2020;57,9502;0,75%
Tipo de cambio Euro / Pesos dominicanos;20/03/2020;57,5184;-0,78%
Tipo de cambio Euro / Pesos dominicanos;19/03/2020;57,9691;-1,19%
Tipo de cambio Euro / Pesos dominicanos;18/03/2020;58,6669;-0,43%
Tipo de cambio Euro / Pesos dominicanos;17/03/2020;58,9193;-1,56%
Tipo de cambio Euro / Pesos dominicanos;16/03/2020;59,8525;0,49%
Tipo de cambio Euro / Pesos dominicanos;13/03/2020;59,5617;-1,18%
Tipo de cambio Euro / Pesos dominicanos;12/03/2020;60,2701;-0,81%
Tipo de cambio Euro / Pesos dominicanos;11/03/2020;60,7613;-0,45%
Tipo de cambio Euro / Pesos dominicanos;10/03/2020;61,0338;-0,56%
Tipo de cambio Euro / Pesos dominicanos;09/03/2020;61,3772;1,10%
Tipo de cambio Euro / Pesos dominicanos;06/03/2020;60,7090;1,33%
Tipo de cambio Euro / Pesos dominicanos;05/03/2020;59,9099;0,64%
Tipo de cambio Euro / Pesos dominicanos;04/03/2020;59,5307;0,15%
Tipo de cambio Euro / Pesos dominicanos;03/03/2020;59,4431;-0,03%
Tipo de cambio Euro / Pesos dominicanos;02/03/2020;59,4617;1,34%
Tipo de cambio Euro / Leis rumanos;14/04/2020;4,8327;0,06%
Tipo de cambio Euro / Leis rumanos;13/04/2020;4,8297;0,04%
Tipo de cambio Euro / Leis rumanos;10/04/2020;4,8277;0,00%
Tipo de cambio Euro / Leis rumanos;09/04/2020;4,8278;-0,12%
Tipo de cambio Euro / Leis rumanos;08/04/2020;4,8338;0,05%
Tipo de cambio Euro / Leis rumanos;07/04/2020;4,8314;0,07%
Tipo de cambio Euro / Leis rumanos;06/04/2020;4,8280;-0,01%
Tipo de cambio Euro / Leis rumanos;03/04/2020;4,8286;0,00%
Tipo de cambio Euro / Leis rumanos;02/04/2020;4,8288;0,09%
Tipo de cambio Euro / Leis rumanos;01/04/2020;4,8246;-0,02%
Tipo de cambio Euro / Leis rumanos;31/03/2020;4,8254;-0,09%
Tipo de cambio Euro / Leis rumanos;30/03/2020;4,8297;-0,07%
Tipo de cambio Euro / Leis rumanos;27/03/2020;4,8332;-0,03%
Tipo de cambio Euro / Leis rumanos;26/03/2020;4,8345;-0,05%
Tipo de cambio Euro / Leis rumanos;25/03/2020;4,8367;-0,16%
Tipo de cambio Euro / Leis rumanos;24/03/2020;4,8445;0,00%
Tipo de cambio Euro / Leis rumanos;23/03/2020;4,8443;0,00%
Tipo de cambio Euro / Leis rumanos;20/03/2020;4,8444;0,01%
Tipo de cambio Euro / Leis rumanos;19/03/2020;4,8440;0,00%
Tipo de cambio Euro / Leis rumanos;18/03/2020;4,8438;-0,02%
Tipo de cambio Euro / Leis rumanos;17/03/2020;4,8448;0,43%
Tipo de cambio Euro / Leis rumanos;16/03/2020;4,8242;0,14%
Tipo de cambio Euro / Leis rumanos;13/03/2020;4,8174;0,04%
Tipo de cambio Euro / Leis rumanos;12/03/2020;4,8157;-0,02%
Tipo de cambio Euro / Leis rumanos;11/03/2020;4,8167;-0,01%
Tipo de cambio Euro / Leis rumanos;10/03/2020;4,8170;-0,03%
Tipo de cambio Euro / Leis rumanos;09/03/2020;4,8184;0,15%
Tipo de cambio Euro / Leis rumanos;06/03/2020;4,8110;0,05%
Tipo de cambio Euro / Leis rumanos;05/03/2020;4,8086;0,06%
